Name,SKU,Quantity,Price,Cost,Category
"Wireless Mouse",WM-001,50,25.99,12.50,Electronics
"Mechanical Keyboard",MK-102,30,89.99,45.00,Electronics
"Office Chair",OC-500,15,199.99,120.00,Home & Garden
"USB-C Cable",USB-C-2M,100,9.99,2.50,Electronics
"Notebook A4",NB-A4-100,200,4.50,1.20,Books
"Water Bottle",WB-STEEL,45,15.00,5.00,General
"Ceramic Mug",MUG-WHT,60,8.99,3.00,Home & Garden
"Bluetooth Speaker",BT-SPK-MINI,25,35.00,18.00,Electronics
"Desk Lamp",DL-LED,20,29.99,14.00,Home & Garden
"Pen Set (Blue)",PEN-BLU-12,80,6.99,2.00,General
